original_handle,variant_handle,exists,name,follower_count,following_count,tweet_count,verified,bio,created_at,recent_tweet_1,recent_tweet_2,recent_tweet_3,error
niazpezh,n1azpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,ni4zpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,nlazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,real_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,niazp3zh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,realniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,theniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,its_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,the_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,i_am_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,itsniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,i_amniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,im_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,actual_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,imniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,actualniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,true_niazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,trueniazpezh,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,niazpezh_real,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
niazpezh,niazpezhreal,False,,,,,False,,,,,,Input is not valid: Field input.username must be array
